rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
257,Anadarko Petroleum,344,11908 ,51.30%,(456.00),-,42086 ,31131 ,4400,R. A. Walker,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",18,The Woodlands,TX,30.1658207,-95.4612625
258,Estee Lauder,253,11824 ,5.00%,1249.00 ,12.10%,11568 ,55064 ,46000,Fabrizio Freda,"President, Chief Executive Officer &  Director",Household Products,Household and Personal Products,23,New York,NY,40.7127753,-74.0059728
259,State Street Corp.,271,11774 ,10.70%,2177.00 ,1.60%,238425 ,36688 ,36643,Joseph L. Hooley,Chairman &  Chief Executive Officer,Financials,Commercial Banks,23,Boston,MA,42.360082500000004,-71.0588801
260,Tesla,383,11759 ,68.00%,(1961.40),-,28655 ,44955 ,37543,Elon Musk,Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,2,Palo Alto,CA,37.441883399999995,-122.14301950000001
261,Netflix,314,11693 ,32.40%,558.90 ,199.40%,19013 ,128167 ,5100,Reed Hastings,"Chairman, President &  Chief Executive Officer",Technology,Internet Services and Retailing,4,Los Gatos,CA,37.235807799999996,-121.96237509999999
262,Alcoa,300,11652 ,25.00%,217.00 ,-,17447 ,8372 ,14600,Roy C. Harvey,"President, Chief Executive Officer &  Director",Materials,Metals,2,Pittsburgh,PA,40.440624799999995,-79.9958864
263,Discover Financial Services,277,11545 ,10.00%,2099.00 ,-12.30%,100087 ,25431 ,16500,David W. Nelms,Chairman &  Chief Executive Officer,Financials,Commercial Banks,10,Riverwoods,IL,42.167525399999995,-87.897014
264,Praxair,275,11437 ,8.60%,1247.00 ,-16.90%,20436 ,41434 ,26461,Stephen F. Angel,Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Danbury,CT,41.394816999999996,-73.45401109999999
265,CSX,257,11408 ,3.10%,5471.00 ,219.20%,35739 ,49428 ,24006,James M. Foote,"President, Chief Executive Officer &  Director",Transportation,Railroads,24,Jacksonville,FL,30.3321838,-81.655651
266,Xcel Energy,256,11404 ,2.70%,1148.00 ,2.20%,43030 ,23107 ,11105,Benjamin G.S. Fowke III,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,22,Minneapolis,MN,44.977753,-93.2650108
267,Unum Group,258,11287 ,2.20%,994.20 ,6.70%,64013 ,10530 ,9400,Richard P. McKenney,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",23,Chattanooga,TN,35.0456297,-85.3096801
268,Universal Health Services,276,11279 ,7.30%,752.30 ,7.10%,10762 ,11163 ,72300,Alan B. Miller,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,15,King of Prussia,PA,40.101285600000004,-75.38355250000001
269,NRG Energy,229,11275 ,-8.70%,(2153.00),-,23318 ,9698 ,5940,Mauricio Gutierrez,"President, Chief Executive Officer &  Director",Energy,Energy,12,Princeton,NJ,40.3572976,-74.66722259999999
270,EOG Resources,356,11208 ,46.50%,2582.60 ,-,29833 ,60913 ,2664,William R. Thomas,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",10,Houston,TX,29.7604267,-95.36980279999999
271,Sempra Energy,280,11207 ,10.10%,256.00 ,-81.30%,50454 ,29351 ,16046,J. Walker Martin,Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,20,San Diego,CA,32.715738,-117.1610838
272,Toys 'R' Us,244,11146 ,-3.40%,(612.00),-,7262 ,-,65000,David A. Brandon,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Wayne,NJ,40.925372499999995,-74.2765441
273,Group 1 Automotive,261,11124 ,2.20%,213.40 ,45.10%,4871 ,1366 ,14108,Earl J. Hesterberg,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",18,Houston,TX,29.7604267,-95.36980279999999
274,Entergy,263,11075 ,2.10%,411.60 ,-,46707 ,14298 ,13504,Leo P. Denault,Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,24,New Orleans,LA,29.9510658,-90.0715323
275,Molson Coors Brewing,522,11003 ,125.20%,1414.20 ,-28.40%,30247 ,16238 ,17200,Mark R. Hunter,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Beverages,8,Denver,CO,39.739235799999996,-104.990251
276,L3 Technologies,273,11002 ,3.80%,677.00 ,-4.60%,12729 ,16283 ,38000,Christopher E. Kubasik,"President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,16,New York,NY,40.7127753,-74.0059728
277,Ball,306,10983 ,21.20%,374.00 ,42.20%,17169 ,13920 ,18300,John A. Hayes,"Chairman, President &  Chief Executive Officer",Materials,"Packaging, Containers",22,Broomfield,CO,39.9205411,-105.0866504
278,AutoZone,270,10889 ,2.40%,1280.90 ,3.20%,9260 ,17450 ,70035,William C. Rhodes III,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,20,Memphis,TN,35.1495343,-90.0489801
279,Murphy USA,291,10853 ,12.70%,245.30 ,10.70%,2331 ,2440 ,6900,R. Andrew Clyde,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,5,El Dorado,AR,33.20763,-92.66626740000001
280,MGM Resorts International,297,10774 ,13.90%,1960.30 ,78.00%,29159 ,19844 ,68500,James J. Murren,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",18,Las Vegas,NV,36.169941200000004,-115.13982959999998
281,Office Depot,203,10752 ,-20.90%,181.00 ,-65.80%,6323 ,1195 ,45000,Gerry P. Smith,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Boca Raton,FL,26.3683064,-80.1289321
282,Huntsman,289,10592 ,9.70%,636.00 ,95.10%,10244 ,7090 ,10000,Peter R. Huntsman,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,13,The Woodlands,TX,30.1658207,-95.4612625
283,Baxter International,281,10561 ,3.90%,717.00 ,-85.60%,17111 ,34979 ,47000,Josï¿½ E. Almeida,"Chairman, President &  Chief Executive Officer",Health Care,Medical Products and Equipment,24,Deerfield,IL,42.171136499999996,-87.8445119
284,Norfolk Southern,284,10551 ,6.70%,5404.00 ,224.00%,35711 ,41226 ,27110,James A. Squires,"Chairman, President &  Chief Executive Officer",Transportation,Railroads,24,Norfolk,VA,36.8507689,-76.28587259999999
285,salesforce.com,326,10480 ,24.90%,127.50 ,-29.00%,21010 ,85074 ,29000,Marc R. Benioff,Chairman &  Chief Executive Officer,Technology,Computer Software,4,SF,CA,37.7749295,-122.4194155
286,Laboratory Corp. of America,290,10441 ,8.30%,1268.20 ,73.20%,16568 ,16482 ,60000,David P. King,"Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,9,Burlington,NC,36.0956918,-79.43779909999999
287,W.W. Grainger,282,10425 ,2.80%,585.70 ,-3.30%,5804 ,15823 ,25050,Donald G. MacPherson,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,24,Lake Forest,IL,42.2586342,-87.840625
288,Qurate Retail,269,10404 ,-2.30%,2441.00 ,97.70%,24122 ,12587 ,28255,Gregory B. Maffei,Chairman,Retailing,Internet Services and Retailing,14,Englewood,CO,39.647765299999996,-104.98775970000001
289,Autoliv,283,10383 ,3.10%,427.10 ,-24.70%,8550 ,12710 ,67352,Jan Carlson,"Chairman, President &  Chief Executive Officer",Motor Vehicles &  Parts,Motor Vehicles and Parts,20,Auburn Hills,MI,42.6875323,-83.23410279999999
290,Live Nation Entertainment,330,10337 ,23.70%,(6.00),-304.50%,7504 ,8772 ,15050,Michael Rapino,"President, Chief Executive Officer &  Director",Media,Entertainment,9,Beverly Hills,CA,34.073620399999996,-118.40035630000001
291,Xerox,162,10265 ,-40.10%,195.00 ,-,15946 ,7330 ,36100,John Visentin,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Norwalk,CT,41.117744,-73.4081575
292,Leidos Holdings,381,10170 ,44.40%,366.00 ,50.00%,8990 ,9918 ,31000,Roger A. Krone,Chairman &  Chief Executive Officer,Technology,Information Technology Services,18,Reston,VA,38.9586307,-77.35700279999999
293,Corning,298,10116 ,7.70%,(497.00),-113.50%,27494 ,23677 ,46200,Wendell P. Weeks,"Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",23,Corning,NY,42.1428521,-77.05469029999999
294,Lithia Motors,318,10087 ,16.20%,245.20 ,24.40%,4683 ,2515 ,12899,Bryan B. DeBoer,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",4,Medford,OR,42.3265152,-122.8755949
295,Expedia Group,317,10060 ,14.70%,378.00 ,34.10%,18516 ,16764 ,22615,Mark D. Okerstrom,"President, Chief Executive Officer &  Director",Retailing,Internet Services and Retailing,4,Bellevue,WA,47.6101497,-122.2015159
296,Republic Services,299,10042 ,7.00%,1278.40 ,108.70%,21147 ,21832 ,35000,Donald W. Slager,"President, Chief Executive Officer &  Director",Business Services,Waste Management,9,Phoenix,AZ,33.4483771,-112.07403729999999
297,Jacobs Engineering Group,259,10023 ,-8.60%,293.70 ,39.60%,7381 ,8380 ,49750,Steven J. Demetriou,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,"Engineering, Construction",18,Dallas,TX,32.7766642,-96.7969879
298,Sonic Automotive,287,9867 ,1.40%,93.00 ,-0.20%,3819 ,804 ,9750,B. Scott Smith,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",19,Charlotte,NC,35.2270869,-80.8431267
299,Ally Financial,286,9866 ,0.30%,929.00 ,-12.90%,167148 ,11767 ,7900,Jeffrey J. Brown,Chairman &  Chief Executive Officer,Financials,Diversified Financials,11,Detroit,MI,42.331427000000005,-83.0457538
300,LKQ,304,9848 ,8.40%,533.70 ,15.00%,9367 ,11750 ,43000,Dominick P. Zarcone,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,5,Chicago,IL,41.8781136,-87.62979820000001
301,BorgWarner,305,9799 ,8.00%,439.90 ,271.20%,9788 ,10586 ,29000,James R. Verrier,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,12,Auburn Hills,MI,42.6875323,-83.23410279999999
302,Fidelity National Financial,293,9769 ,2.30%,771.00 ,18.60%,9151 ,10983 ,24525,Raymond R. Quirk,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),11,Jacksonville,FL,30.3321838,-81.655651
303,SunTrust Banks,303,9741 ,6.30%,2273.00 ,21.00%,205962 ,31863 ,23785,William H. Rogers Jr.,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,Atlanta,GA,33.7489954,-84.3879824
304,IQVIA Holdings,390,9739 ,41.60%,1309.00 ,1038.30%,22742 ,20433 ,55000,Ari Bousbib,"Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,5,Durham,NC,35.980513,-78.90511
305,Reliance Steel & Aluminum,320,9721 ,12.90%,613.40 ,101.60%,7751 ,6244 ,14900,Gregg J. Mollins,"President, Chief Executive Officer &  Director",Materials,Metals,12,Los Angeles,CA,34.0522342,-118.24368490000002
306,Nvidia,387,9714 ,40.60%,3047.00 ,82.90%,11241 ,140112 ,11528,Jen-Hsun Huang,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,2,Santa Clara,CA,37.354107899999995,-121.9552356
307,Voya Financial,266,9660 ,-10.40%,(2992.00),-,222532 ,8686 ,6300,Rodney O. Martin Jr.,Chairman &  Chief Executive Officer,Financials,Diversified Financials,4,New York,NY,40.7127753,-74.0059728
308,CenterPoint Energy,362,9614 ,27.70%,1792.00 ,314.80%,22736 ,11822 ,7977,Scott M. Prochazka,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Houston,TX,29.7604267,-95.36980279999999
309,eBay,310,9567 ,6.50%,(1016.00),-114.00%,25981 ,40726 ,14100,Devin N. Wenig,"President, Chief Executive Officer &  Director",Technology,Internet Services and Retailing,13,San Jose,CA,37.338208200000004,-121.88632859999998
310,Eastman Chemical,309,9549 ,6.00%,1384.00 ,62.10%,15999 ,15073 ,14000,Mark J. Costa,Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Kingsport,TN,36.548434,-82.5618186
311,American Family Insurance Group,315,9545 ,8.10%,155.60 ,-52.20%,24233 ,-,11307,Jack C. Salzwedel,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),22,Madison,WI,43.07305170000001,-89.4012302
312,Steel Dynamics,347,9539 ,22.70%,812.70 ,112.70%,6856 ,10444 ,7635,Mark D. Millett,"President, Chief Executive Officer &  Director",Materials,Metals,9,Fort Wayne,IN,41.079273,-85.13935129999999
313,Pacific Life,302,9510 ,3.70%,1365.00 ,65.70%,157877 ,-,3578,James T. Morris,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",22,Newport Beach,CA,33.618882899999996,-117.9298493
314,Chesapeake Energy,343,9496 ,20.60%,949.00 ,-,12425 ,2746 ,3200,Robert D. Lawler,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",13,Oklahoma City,OK,35.4675602,-97.5164276
315,Mohawk Industries,311,9491 ,5.90%,971.60 ,4.40%,12095 ,17283 ,38800,Jeffrey S. Lorberbaum,Chairman &  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",19,Calhoun,GA,34.502587,-84.9510542
316,Quanta Services,355,9467 ,23.70%,315.00 ,58.80%,6480 ,5281 ,32800,Earl C. Austin Jr.,"President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",6,Houston,TX,29.7604267,-95.36980279999999
317,Advance Auto Parts,292,9374 ,-2.00%,475.50 ,3.50%,8482 ,8770 ,55500,Thomas R. Greco,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,16,Roanoke,VA,37.270970399999996,-79.9414266
318,Owens & Minor,288,9318 ,-4.20%,72.80 ,-33.10%,3376 ,961 ,8600,P. Cody Phipps,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,Mechanicsville,VA,37.6087561,-77.37331390000001
319,United Natural Foods,325,9275 ,9.50%,130.20 ,3.50%,2887 ,2165 ,9700,Steven L. Spinner,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,6,Providence,RI,41.8239891,-71.4128343
320,Tenneco,322,9274 ,7.80%,207.00 ,-41.90%,4842 ,2822 ,32000,Brian J. Kesseler,Chief Executive Officer &  Director,Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Lake Forest,IL,42.2586342,-87.840625
321,Conagra Brands,197,9235 ,-34.70%,639.30 ,-,10096 ,14776 ,12600,Sean M. Connolly,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,24,Chicago,IL,41.8781136,-87.62979820000001
322,GameStop,321,9225 ,7.20%,34.70 ,-90.20%,5042 ,1279 ,39500,Shane S. Kim,Interim Chief Executive Officer,Retailing,Specialty Retailers: Other,12,Grapevine,TX,32.9342919,-97.07806540000001
323,Hormel Foods,295,9168 ,-3.70%,846.70 ,-4.90%,6976 ,18174 ,20200,James P. Snee,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,24,Austin,MN,43.6666296,-92.9746367
324,Hilton Worldwide Holdings,241,9140 ,-21.60%,1259.00 ,261.80%,14308 ,24957 ,163000,Christopher J. Nassetta,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",15,McLean,VA,38.933867600000006,-77.17726040000001
325,Frontier Communications,313,9128 ,2.60%,(1804.00),-,24884 ,582 ,22736,Daniel J. McCarthy,"President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,5,Norwalk,CT,41.117744,-73.4081575
326,Fidelity National Information Services,301,9123 ,-1.30%,1319.00 ,132.20%,24517 ,31893 ,53000,Gary A. Norcross,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,9,Jacksonville,FL,30.3321838,-81.655651
327,Public Service Enterprise Group,306,9084 ,0.30%,1574.00 ,77.50%,42716 ,25359 ,12945,Ralph Izzo,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Newark,NJ,40.735657,-74.1723667
328,Boston Scientific,327,9048 ,7.90%,104.00 ,-70.00%,19042 ,37688 ,29000,Michael F. Mahoney,"Chairman, President &  Chief Executive Officer",Health Care,Medical Products and Equipment,15,Marlboro,MA,42.3459271,-71.55228740000001
329,OReilly Automotive,323,8978 ,4.50%,1133.80 ,9.30%,7572 ,20607 ,60365,Gregory D. Johnson,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,9,Springfield,MO,37.20895720000001,-93.2922989
330,Charles Schwab,357,8960 ,17.20%,2354.00 ,24.60%,243274 ,70313 ,17600,Walter W. Bettinger II,"President, Chief Executive Officer &  Director",Financials,Securities,20,SF,CA,37.7749295,-122.4194155
331,Global Partners,334,8921 ,8.30%,58.80 ,-,2320 ,522 ,2000,Eric Slifka,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,12,Waltham,MA,42.376485200000005,-71.2356113
332,PVH,335,8915 ,8.70%,537.80 ,-2.00%,11886 ,11649 ,28050,Emanuel Chirico,Chairman &  Chief Executive Officer,Apparel,Apparel,8,New York,NY,40.7127753,-74.0059728
333,Avis Budget Group,319,8848 ,2.20%,361.00 ,121.50%,17699 ,3792 ,26300,Larry D. De Shon,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",21,Parsippany-Troy Hills,NJ,40.865286499999996,-74.41738769999999
334,Targa Resources,402,8815 ,31.70%,54.00 ,-,14389 ,9629 ,2130,Joe Bob Perkins,Chairman &  Chief Executive Officer,Energy,Pipelines,10,Houston,TX,29.7604267,-95.36980279999999
335,Hertz Global Holdings,296,8803 ,-7.10%,327.00 ,-,20058 ,1662 ,37000,Kathryn V. Marinello,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",11,Estero,FL,26.438136,-81.8067523
336,Calpine,400,8752 ,30.30%,(339.00),-468.50%,16453 ,-,2290,John B. Hill III,"President, Chief Executive Officer &  Director",Energy,Energy,17,Houston,TX,29.7604267,-95.36980279999999
337,Mutual of Omaha Insurance,342,8732 ,10.60%,862.60 ,141.90%,42429 ,-,5896,James T. Blackledge,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",22,Omaha,NE,41.2565369,-95.93450340000001
338,Crown Holdings,333,8698 ,5.00%,323.00 ,-34.90%,10663 ,6816 ,24342,Timothy J. Donahue,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",24,Philadelphia,PA,39.9525839,-75.1652215
339,Peter Kiewit Sons,324,8678 ,1.20%,371.00 ,-6.30%,5710 ,-,22000,Bruce E. Grewcock,"President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",19,Omaha,NE,41.2565369,-95.93450340000001
340,Dicks Sporting Goods,340,8591 ,8.40%,323.40 ,12.50%,4204 ,3765 ,30300,Edward W. Stack,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,9,Coraopolis,PA,40.5184013,-80.1667247
341,PulteGroup,353,8573 ,11.80%,447.20 ,-25.80%,9687 ,8439 ,4810,Ryan R. Marshall,"President, Chief Executive Officer &  Director",Engineering &  Construction,Homebuilders,16,Atlanta,GA,33.7489954,-84.3879824
342,Navistar International,337,8570 ,5.70%,30.00 ,-,6135 ,3451 ,11400,Troy A. Clarke,"Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,22,Lisle,IL,41.801140999999994,-88.0747875
343,Thrivent Financial for Lutherans,316,8528 ,-2.80%,558.40 ,-5.00%,95001 ,-,3622,Bradford L. Hewitt,Chief Executive Officer &  Director,Financials,"Insurance: Life, Health (Mutual)",24,Minneapolis,MN,44.977753,-93.2650108
344,DCP Midstream,,8462 ,465.30%,229.00 ,-26.60%,13878 ,5033 ,2650,Wouter T. van Kempen,"Chairman, President &  Chief Executive Officer",Energy,Pipelines,1,Denver,CO,39.739235799999996,-104.990251
345,Air Products & Chemicals,294,8442 ,-11.40%,3000.40 ,375.40%,18467 ,34818 ,15150,Seifi Ghasemi,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,24,Allentown,PA,40.6022939,-75.4714098
346,Veritiv,331,8365 ,0.50%,(13.30),-163.30%,2708 ,617 ,8900,Mary A. Laschinger,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,3,Atlanta,GA,33.7489954,-84.3879824
347,AGCO,370,8307 ,12.10%,186.40 ,16.40%,7972 ,5157 ,20462,Martin H. Richenhagen,"Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,17,Duluth,GA,34.0028786,-84.1446376
348,Genworth Financial,329,8295 ,-0.90%,817.00 ,-,105297 ,1413 ,3500,Thomas J. McInerney,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",13,Richmond,VA,37.540724600000004,-77.4360481
349,Univar,338,8254 ,2.20%,119.80 ,-,5733 ,3920 ,8600,David C. Jukes,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,3,Downers Grove,IL,41.8089191,-88.01117459999999
350,News Corp.,332,8139 ,-2.20%,(738.00),-512.30%,14552 ,9272 ,26000,Robert J. Thomson,Chairman &  Chief Executive Officer,Media,"Publishing, Printing",4,New York,NY,40.7127753,-74.0059728
351,SpartanNash,350,8128 ,5.10%,(52.80),-193.00%,2056 ,620 ,11950,David M. Staples,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Food and Grocery,8,Byron Center,MI,42.812250799999994,-85.7228061
352,Westlake Chemical,507,8041 ,58.40%,1304.00 ,226.90%,12076 ,14385 ,8799,Albert Yuan Chao,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,1,Houston,TX,29.7604267,-95.36980279999999
353,Williams,367,8031 ,7.10%,2174.00 ,-,46352 ,20567 ,5425,Alan S. Armstrong,"President, Chief Executive Officer &  Director",Energy,Energy,24,Tulsa,OK,36.1539816,-95.992775
354,Lam Research,440,8014 ,36.10%,1697.80 ,85.70%,12123 ,33105 ,9400,Martin B. Anstice,Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,3,Fremont,CA,37.548269700000006,-121.98857190000001
355,Alaska Air Group,438,7933 ,33.80%,1034.00 ,27.00%,10740 ,7646 ,23156,Bradley D. Tilden,"Chairman, President &  Chief Executive Officer",Transportation,Airlines,5,Seattle,WA,47.6062095,-122.33207079999998
356,Jones Lang LaSalle,391,7932 ,16.60%,254.20 ,-20.10%,8015 ,7930 ,81900,Christian Ulbrich,"President, Chief Executive Officer &  Director",Financials,Real estate,4,Chicago,IL,41.8781136,-87.62979820000001
357,Anixter International,359,7927 ,4.00%,109.00 ,-9.50%,4252 ,2522 ,8900,Robert J. Eck,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,16,Glenview,IL,42.069750899999995,-87.7878408
358,Campbell Soup,339,7890 ,-0.90%,887.00 ,57.50%,7726 ,13021 ,18000,Denise M. Morrison,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,24,Camden,NJ,39.9259463,-75.1196199
359,Interpublic Group,345,7882 ,0.50%,579.00 ,-4.80%,12695 ,8854 ,50200,Michael I. Roth,Chairman &  Chief Executive Officer,Business Services,"Advertising, marketing",21,New York,NY,40.7127753,-74.0059728
360,Dover,392,7830 ,15.20%,811.70 ,59.50%,10658 ,15183 ,29000,Richard J. Tobin,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,24,Downers Grove,IL,41.8089191,-88.01117459999999
361,Zimmer Biomet Holdings,352,7824 ,1.80%,1813.80 ,492.90%,25965 ,22151 ,18200,Bryan C. Hanson,"President, Chief Executive Officer &  Director",Health Care,Medical Products and Equipment,3,Warsaw,IN,41.2381,-85.85304690000001
362,Dean Foods,351,7795 ,1.10%,61.60 ,-48.60%,2504 ,787 ,16000,Ralph P. Scozzafava,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,20,Dallas,TX,32.7766642,-96.7969879
363,Foot Locker,348,7782 ,0.20%,284.00 ,-57.20%,3961 ,5379 ,32175,Richard A. Johnson,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,24,New York,NY,40.7127753,-74.0059728
364,Eversource Energy,358,7752 ,1.50%,988.00 ,4.80%,36220 ,18671 ,8084,James J. Judge,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,23,Springfield,MA,42.1014831,-72.589811
365,Alliance Data Systems,378,7719 ,8.10%,788.70 ,52.90%,30685 ,11806 ,20000,Edward J. Heffernan,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,4,Plano,TX,33.0198431,-96.6988856
366,Fifth Third Bancorp,389,7713 ,12.00%,2194.00 ,40.30%,142193 ,21812 ,18125,Greg D. Carmichael,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,19,Cincinnati,OH,39.103118200000004,-84.5120196
367,Quest Diagnostics,366,7709 ,2.60%,772.00 ,19.70%,10503 ,13619 ,45000,Stephen H. Rusckowski,"Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,18,Secaucus,NJ,40.7895453,-74.05652979999999
368,EMCOR Group,360,7688 ,1.80%,227.20 ,24.90%,3966 ,4549 ,32000,Anthony J. Guzzi,"President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",18,Norwalk,CT,41.117744,-73.4081575
369,W.R. Berkley,354,7685 ,0.40%,549.10 ,-8.80%,24300 ,8836 ,7722,W. Robert Berkley Jr.,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),15,Greenwich,CT,41.0262417,-73.62819640000001
370,WESCO International,373,7679 ,4.70%,163.50 ,60.90%,4736 ,2920 ,9100,John J. Engel,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Diversified,20,Pittsburgh,PA,40.440624799999995,-79.9958864
371,Coty,558,7650 ,75.90%,(422.20),-369.10%,22548 ,13723 ,22000,Camillo Pane,Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,1,New York,NY,40.7127753,-74.0059728
372,WEC Energy Group,368,7649 ,2.40%,1203.70 ,28.20%,31591 ,19784 ,8129,Gale E. Klappa,Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,9,Milwaukee,WI,43.0389025,-87.9064736
373,Masco,372,7644 ,3.90%,533.00 ,8.60%,5488 ,12590 ,26000,Keith J. Allman,"President, Chief Executive Officer &  Director",Household Products,"Home Equipment, Furnishings",24,Livonia,MI,42.36837,-83.3527097
374,DXC Technology,,7607 ,7.10%,(123.00),-149.00%,8663 ,28720 ,60000,J. Michael Lawrie,"Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,1,Tysons,VA,38.9187222,-77.2310925
375,Auto-Owners Insurance,398,7604 ,12.20%,645.70 ,-8.60%,23694 ,-,5227,Jeffrey S. Tagsold,Chief Executive Officer &  Director,Financials,Insurance: Property and Casualty (Mutual),16,Lansing,MI,42.732535,-84.55553470000001
376,Jones Financial (Edward Jones),403,7597 ,14.60%,872.00 ,16.90%,17176 ,-,45000,James D. Weddle,Chief Executive Officer &  Managing Partner,Financials,Securities,6,Des Peres,MO,38.59722,-90.448126
377,Liberty Media,491,7594 ,43.90%,1354.00 ,99.10%,41996 ,13816 ,4393,Gregory B. Maffei,"President, Chief Executive Officer &  Director",Media,Entertainment,2,Englewood,CO,39.647765299999996,-104.98775970000001
